model_name,model_type,num_snps,epochs_trained,test_accuracy,test_loss,final_train_acc,final_val_acc,training_time_minutes,status,filepath
model4,Marginal,500,41,0.8966666460037231,0.27917492389678955,0.9560714364051819,0.9016666412353516,5.8241770505905155,SUCCESS,data/processed/model4/order2/snps500/dataset_0.npz
model4,Marginal,1000,37,0.9100000262260437,0.25213807821273804,0.9678571224212646,0.9016666412353516,10.38946031332016,SUCCESS,data/processed/model4/order2/snps1000/dataset_0.npz
model5,Pure Epistasis,50,36,0.625,0.5970082879066467,0.6225000023841858,0.6266666650772095,0.6692552963892618,SUCCESS,data/processed/model5/order2/snps50/dataset_0.npz
model5,Pure Epistasis,100,45,0.6183333396911621,0.6023172736167908,0.6521428823471069,0.6366666555404663,1.38331884543101,SUCCESS,data/processed/model5/order2/snps100/dataset_0.npz
model5,Pure Epistasis,500,41,0.6316666603088379,0.6011922955513,0.6732142567634583,0.5716666579246521,6.307887311776479,SUCCESS,data/processed/model5/order2/snps500/dataset_0.npz
model5,Pure Epistasis,1000,33,0.628333330154419,0.5963088274002075,0.8860714435577393,0.5849999785423279,10.203776133060455,SUCCESS,data/processed/model5/order2/snps1000/dataset_0.npz
model6,Pure Epistasis,50,50,0.6349999904632568,0.5896791219711304,0.6625000238418579,0.6399999856948853,0.8825026035308838,SUCCESS,data/processed/model6/order2/snps50/dataset_0.npz
model6,Pure Epistasis,100,50,0.621666669845581,0.6018210053443909,0.6364285945892334,0.6466666460037231,1.5972687562306722,SUCCESS,data/processed/model6/order2/snps100/dataset_0.npz
model6,Pure Epistasis,500,48,0.6333333253860474,0.58991539478302,0.6614285707473755,0.5899999737739563,6.856206707159678,SUCCESS,data/processed/model6/order2/snps500/dataset_0.npz
model6,Pure Epistasis,1000,43,0.625,0.5988847613334656,0.7764285802841187,0.6166666746139526,13.556058645248413,SUCCESS,data/processed/model6/order2/snps1000/dataset_0.npz
model7,Marginal,50,37,0.92166668176651,0.23014838993549347,0.9228571653366089,0.9316666722297668,0.6766785184542338,SUCCESS,data/processed/model7/order2/snps50/dataset_0.npz
model7,Marginal,100,38,0.9283333420753479,0.21724194288253784,0.9242857098579407,0.9366666674613953,1.2734974384307862,SUCCESS,data/processed/model7/order2/snps100/dataset_0.npz
model7,Marginal,500,44,0.9116666913032532,0.2549479901790619,0.9128571152687073,0.8833333253860474,6.876437656084696,SUCCESS,data/processed/model7/order2/snps500/dataset_0.npz
model7,Marginal,1000,34,0.9300000071525574,0.21617652475833893,0.9764285683631897,0.8983333110809326,10.229216182231903,SUCCESS,data/processed/model7/order2/snps1000/dataset_0.npz
model8,Marginal,50,30,0.92166668176651,0.23100456595420837,0.9125000238418579,0.9233333468437195,0.5319896062215169,SUCCESS,data/processed/model8/order2/snps50/dataset_0.npz
model8,Marginal,100,30,0.9333333373069763,0.21296726167201996,0.9307143092155457,0.8899999856948853,1.0029847979545594,SUCCESS,data/processed/model8/order2/snps100/dataset_0.npz
model8,Marginal,500,38,0.9233333468437195,0.2288961261510849,0.9200000166893005,0.9049999713897705,5.761806058883667,SUCCESS,data/processed/model8/order2/snps500/dataset_0.npz
model8,Marginal,1000,50,0.925000011920929,0.22845926880836487,0.9014285802841187,0.8866666555404663,15.74704406261444,SUCCESS,data/processed/model8/order2/snps1000/dataset_0.npz
